section,page_num,score,notes
cover_ads,12,3,"The CSV captures the main text but incorrectly places it in the ""Notes"" field, and the structure does not align with the OCR text's format. The page number is added, which is not present in the OCR text."
cover_ads,10,4,"The CSV is mostly accurate but has minor discrepancies such as ""Enti Pubblici di carattere sindacale e libero Associazioni Professionali"" being listed as ""Enti Pubblici di carattere sindacale o libere Associazioni Professionali"" and ""Industria di Murano"" being listed as ""Industrie di Murano"". Additionally, some formatting differences like the use of ""Parte I VII"" instead of ""Parte I / VII"" are present."
cover_ads,1,2,"The CSV contains major omissions and does not accurately represent the OCR text. It only includes a small portion of the text related to Google Ricerca Libri, omitting the majority of the content about public domain guidelines and usage restrictions. Additionally, the CSV structure with fields like Name, Address, and Category does not align with the narrative format of the OCR text."
cover_ads,9,2,"The CSV contains major omissions and lacks structural fidelity to the OCR text. It only captures the sign-off ""GLI EDITORI"" and a vague summary, missing the detailed discussion on professional registrations, editorial challenges, and future intentions. Additionally, the address ""S. Antonin 3579°"" is not present in the OCR text, indicating hallucinated content."
cover_ads,6,1,"The CSV is empty and does not capture any of the information from the OCR text, such as the title, publisher, location, or price."
index,14,3,"There are noticeable errors and omissions, such as incorrect page numbers (e.g., ""Associazione Inquilini e Senza Tetto"" should be page 82, not 32), and some names are altered (e.g., ""Associazione dell’Arma di Linea di Venezia"" should be ""Associazione dell'Armamento di Linea di Venezia""). Additionally, some entries are missing, such as ""Associazione Regionale Veneta per la Tutela delle Vittime del Fascismo"" which should be on page 14, not 32."
index,27,4,"The CSV accurately captures most of the core content, but it omits the phone number and the specific mention of ""alta e bassa tensione"" and ""per trazione e telefoniche in genere"" from the OCR text."
index,22,1,"The CSV contains hallucinated content such as ""Tribunale Diocesano »Metropolitano»"" and ""Affittuavi Coltivatori Diretti e Mezzadri"" which are not present in the OCR text. Additionally, the structure and content of the CSV do not match the OCR text, with incorrect page numbers and unrelated additional information."
index,15,2,"The CSV contains numerous errors, including incorrect page numbers, misspellings, and hallucinated entries such as ""Camera Confede'i'ale del Lavoro"" and ""Derusalemofati."" There are also significant omissions, such as ""Comitato Regionale Veneto Bonifica"" and ""Comitato Olimpionico Nazionale Italiano C.O.N.I."" being incorrectly listed or missing."
index,29,1,"The CSV bears little resemblance to the OCR text. The OCR text lists categories and page numbers from a commercial almanac, while the CSV contains information about a specific business, including address and contact details, which are not present in the OCR text."
religious,93,2,"The CSV contains significant inaccuracies and hallucinated content. Many entries have incorrect locations and roles, and there are repeated, incorrect additional info entries (""Edificata nel 639. Fu cattedrale fino al 1818."") that do not match the OCR text."
religious,95,2,"The CSV contains significant errors and omissions, including incorrect addresses, roles, and affiliations. Many entries are repeated with incorrect details, and there are hallucinated locations and roles not present in the OCR text."
religious,36,3,"The CSV has noticeable gaps, such as missing roles for some individuals and incorrect or missing additional information. There are also structural errors, such as misplaced titles and roles, and some names are misspelled or incomplete."
religious,96,2,"The CSV contains significant hallucinated content, such as incorrect addresses and roles, and it omits many entries from the OCR text. The structure is also inconsistent with the original text, leading to major discrepancies."
religious,89,3,"The CSV contains noticeable errors and omissions, such as incorrect church names (e.g., ""SAN ANTONINO PRETE M."" instead of ""S. MARIA DELLA VISITAZIONE""), missing entries (e.g., ""San Lorenzo Diacono M.""), and incorrect roles or professions for some individuals. Additionally, some information is inaccurately attributed or missing, such as the ""Additional Info"" field not always matching the OCR text."
government,65,2,"The CSV contains numerous errors and omissions, such as incorrect addresses, missing roles, and invented locations. Additionally, there are structural errors, such as incorrect associations between names and roles, and some names are misspelled or incorrectly formatted."
government,78,2,"The CSV contains hallucinated content, such as ""Casseforti e mobili in metallo per uffici della 'LIPS VAGO' di Milano,"" which is not present in the OCR text. Additionally, there are major omissions, such as missing entries for several institutions and roles mentioned in the OCR text, and incorrect or incomplete addresses."
government,64,2,"The CSV contains significant errors and hallucinations, such as incorrect addresses and roles, and it misrepresents the structure of the original text. Many entries are duplicated with incorrect associations, and there are invented details like ""CONSORZIO DI BONIFICA DESE SUPERIORE"" which do not appear in the OCR text."
government,81,2,"The CSV contains numerous errors and omissions, such as incorrect names (e.g., ""Zanon prof. Sante Francesco Saverio"" instead of ""Zamponi prof. Santo Francesco Saverio""), incorrect roles, and repeated incorrect additional info (""Con celebri dipinti di Gian Battista Tiepolo"") that does not appear in the OCR text. Additionally, several entries from the OCR text are missing entirely."
government,62,3,"The CSV contains noticeable errors and omissions, such as incorrect names (e.g., ""Carisi Arturo"" instead of ""Canisi Arturo""), missing entries (e.g., ""Civitarese dr. Gennaro""), and incorrect addresses or roles for some entries. Additionally, some roles and locations are inaccurately combined or misrepresented."
other,321,5,none
other,325,4,"The page number is incorrect in the CSV (should be 190, not 325), and the address for VARISCO & C. is missing ""MURANO."""
other,491,2,"The CSV contains numerous errors, including incorrect names (e.g., ""Brianza"" instead of ""Briona""), hallucinated content (e.g., ""Ca­lleva (S. Maria di Sala)"" repeated in many entries), and structural errors with misplaced or missing data."
other,489,3,"The CSV contains noticeable errors and omissions, such as incorrect phone numbers and missing categories like ""Reparto Eliocianografico"" and ""Reparto Artistico."" Additionally, there are hallucinated entries like ""Phone: 25.889"" and ""* duse *,"" which do not appear in the OCR text."
other,106,3,"The CSV captures the core content but omits several details such as ""FORNITURE STATALI, PARASTATALI E PRIVATE,"" ""COSTRUZIONI ELETTRICHE CENTRALI,"" and ""TELEFONICI - TEATRALI - OSPEDALIERI - SEGNALAMENTI - TERRESTRI E MARITTIMI."" Additionally, the structure of the information is somewhat altered."
professionisti,108,3,"There are noticeable errors and omissions, such as incorrect addresses for Canato Antonio and Moresco Giuseppe, and missing entries like ""Del Giudice Brenno"" with incorrect address. Additionally, some professions are not consistently labeled, and there are structural errors in the CSV."
professionisti,125,4,"The CSV is mostly accurate but contains a few minor errors, such as the incorrect spelling of ""Meneegazi"" instead of ""Menegazzi"" and the incorrect category for ""Alberti ing. Domenico"" which should be ""Abbigliamento"" instead of ""Categoria VIII""."
professionisti,123,2,"The CSV contains numerous errors, including incorrect addresses, hallucinated content such as ""Concessionario esclusivo: Rag. Cleto Rossini"" for all entries, and incorrect page numbers. Many entries are missing or incorrectly categorized, and the structure does not accurately reflect the OCR text."
professionisti,109,3,"The CSV contains noticeable errors and omissions, such as incorrect or missing addresses (e.g., ""Pellarin Mario"" has an incorrect address), and some entries have additional information that is not present in the OCR text (e.g., ""Scarpa Serena"" with ""VETRITAL S. A.""). Additionally, some entries are combined or split incorrectly, affecting the overall structure."
professionisti,116,2,"The CSV contains numerous errors and omissions, such as incorrect names (e.g., ""Amnuzzo Lino"" instead of ""Anmuzio Lino""), incorrect addresses, and missing entries (e.g., ""VETRITAL S. A."" is not included). Additionally, there are hallucinated entries and incorrect professions, such as ""Farmacisti"" for individuals listed under ""Ingegneri"" in the OCR text."
industria,317,2,"The CSV contains numerous errors and inconsistencies compared to the OCR text. There are many hallucinated entries, incorrect addresses, and mismatched names. Additionally, the structure of the CSV does not align well with the original text, leading to significant omissions and inaccuracies."
industria,210,2,"The CSV contains numerous errors, including incorrect addresses, missing entries, and hallucinated content such as incorrect locations and categories. Many entries are inaccurately represented or entirely absent, leading to significant discrepancies between the CSV and the OCR text."
industria,187,2,"The CSV contains numerous errors, including incorrect locations (e.g., Murano instead of the correct locations), missing entries (e.g., ""Neo Smalto Campiello Riccardo Selvatico""), and hallucinated content (e.g., incorrect categories and additional info). There are also structural errors, such as incorrect grouping of addresses and categories."
industria,269,2,"The CSV contains numerous errors, including incorrect locations (e.g., ""Murano"" for entries not in Murano), hallucinated categories (e.g., ""Camicerie da uomo"" for all entries), and missing entries (e.g., ""Penna"" and ""Perle d'ogni tipo a lume"" sections are incomplete). Additionally, some entries are incorrectly combined or split, and there are structural inconsistencies."
industria,293,2,"The CSV contains numerous errors, including incorrect names, addresses, and locations. There are also hallucinated entries and structural inconsistencies, such as incorrect categorization and missing entries from the OCR text."
indice_generale,348,2,"The CSV contains major omissions and hallucinated content. The address and phone number do not match the OCR text, and additional information not present in the OCR text is included."
indice_generale,428,2,"The CSV contains numerous errors and hallucinations, such as incorrect addresses, professions, and additional information that do not match the OCR text. There are also significant omissions of entries from the OCR text, and the structure is inconsistent with the original data."
indice_generale,486,1,"The CSV contains numerous hallucinated entries, such as repeated references to ""MACCHINE per scrivere -- Calcolatrici - Duplicatori"" and incorrect addresses. Many entries from the OCR text are missing or incorrectly represented, and there are structural errors throughout."
indice_generale,439,1,"The CSV contains numerous inaccuracies, including incorrect addresses, invented content such as ""carbone e legna (dettagli)"" and ""Fondata nel: 1877"" for every entry, and mismatched professions and locations. The structure and content do not faithfully represent the OCR text."
indice_generale,443,2,"The CSV contains significant hallucinated content, such as ""Rappresentante di case produttrici di medicinali"" and ""Phone: 25.889,"" which are not present in the OCR text. Additionally, there are structural errors, with incorrect categorization and missing entries from the OCR text."
provincia,498,2,"The CSV contains significant errors, including incorrect province names (e.g., ""CAMPOLONGO MAGGIORE"" instead of ""CAMPONOGARA""), missing entries (e.g., ""Macchine per scrivere"" section), and structural issues such as incorrect categorization of roles and professions."
provincia,529,3,"The CSV has noticeable gaps, such as missing entries like ""Industrie agricole"" and ""Laterizi, calce e cementi."" There are also structural errors, such as incorrect names like ""Lazampa Pasquale"" instead of ""Lazam Pasquale,"" and some duplicated entries like ""Roma Tiziano"" in ""Biade coloniali ed affini."""
provincia,504,2,"The CSV contains numerous errors and omissions, such as incorrect names (e.g., ""Banzato Maria"" instead of ""Bonazzo Maria""), incorrect sections (e.g., ""ANNONE VENETO"" instead of ""VENEZIA E PROVINCIA""), and missing entries (e.g., ""E. C. A., Ente Comunale di Assistenza""). Additionally, there are structural errors, such as incorrect categorization of roles and professions."
provincia,494,3,"The CSV contains several errors and omissions, such as incorrect names (e.g., ""Germani Ines"" instead of ""Geromini Ines""), missing entries (e.g., ""Caffe (torrefattori del)"" section), and structural inconsistencies (e.g., ""Ufficio Telefonico"" is not in the OCR text)."
provincia,539,2,"The CSV contains numerous errors and omissions, such as incorrect names (e.g., ""Penazzo Floria di Farianti"" instead of ""Pierazzo Flodia in Farianti""), missing entries (e.g., ""Scattengo"" is missing), and structural errors (e.g., incorrect categorization and misspellings like ""Mobil'i"" instead of ""Mobili""). Additionally, some entries are hallucinated or incorrectly transcribed, such as ""Spolstore Pietro"" instead of ""Spolicor Pietro""."
