page,page_num,n_runs_found,n_valid_runs,winner_filename,selection_tier,confidence,winner_score,reason,all_scores,ocr_file_found,timestamp
page_1,1,3,3,page_1_semantic_3.csv,TIER2,high,0.0,"Run 3 is the only one that includes extracted content relevant to the page, capturing Google's role and purpose in book digitization.",page_1_semantic_1.csv=0.0; page_1_semantic_2.csv=0.0; page_1_semantic_3.csv=0.0,True,2026-06-09T18:51:55.027959
page_2,2,3,3,page_2_semantic_3.csv,TIER2,high,0.0,"Run 3 is complete and accurate with fixed item names and proper Venetian addresses, unlike Run 2 which has numerous OCR mistakes.",page_2_semantic_1.csv=0.0; page_2_semantic_2.csv=0.0; page_2_semantic_3.csv=0.0,True,2026-06-09T18:52:02.029268
page_3,3,3,3,page_3_semantic_2.csv,TIER2,high,51.8,"Run 2 captures all Venetian addresses accurately along with comprehensive additional details, making it most valuable for geocoding.",page_3_semantic_1.csv=51.8; page_3_semantic_2.csv=51.8; page_3_semantic_3.csv=51.8,True,2026-06-09T18:52:08.905665
page_4,4,3,3,page_4_semantic_1.csv,TIER2,high,53.3,"Run 1 accurately captures the complete content with correct semantic extraction, including all relevant categories and additional info, particularly the Venetian address.",page_4_semantic_1.csv=53.3; page_4_semantic_2.csv=53.3; page_4_semantic_3.csv=53.1,True,2026-06-09T18:52:16.245553
page_5,5,3,3,page_5_semantic_3.csv,TIER1,high,51.21,2x_more_rows(3_vs_1),page_5_semantic_1.csv=51.0; page_5_semantic_2.csv=51.0; page_5_semantic_3.csv=51.2,True,2026-06-09T18:52:19.654788
page_6,6,3,3,page_6_semantic_2.csv,TIER2,high,0.0,"Run 2 correctly captures the complete name, address, and location of the Venetian entity, which is most valuable for geocoding, while the others are empty.",page_6_semantic_1.csv=0.0; page_6_semantic_2.csv=0.0; page_6_semantic_3.csv=0.0,True,2026-06-09T18:52:26.629082
page_7,7,3,3,page_7_semantic_2.csv,TIER2,medium,0.0,"Run 2 captures the most relevant address from the OCR text, matching 'S. Antonin 3579/a', and includes additional context about the publication for a more comprehensive semantic extraction.",page_7_semantic_1.csv=0.0; page_7_semantic_2.csv=0.0; page_7_semantic_3.csv=0.0,True,2026-06-09T18:52:33.152111
page_8,8,3,3,page_8_semantic_3.csv,TIER2,medium,0.0,"Run 3 correctly identifies an address in Venice (S. Antonin 3579°) and formats it appropriately, unlike Runs 1 and 2 which misinterpret the text entirely.",page_8_semantic_1.csv=0.0; page_8_semantic_2.csv=0.0; page_8_semantic_3.csv=0.0,True,2026-06-09T18:52:38.825367
page_9,9,3,3,page_9_semantic_1.csv,TIER2,medium,0.0,"Run 1 captures both a Venetian address and a relevant extract accurately linked to 'Gli Editori', which are essential for geocoding and semantic extraction.",page_9_semantic_1.csv=0.0; page_9_semantic_2.csv=0.0; page_9_semantic_3.csv=0.0,True,2026-06-09T18:52:46.892018
page_10,10,3,3,page_10_semantic_3.csv,TIER2,high,69.07,"Run 3 is the most accurate and complete, maintaining the original structure, punctuation, and content without errors.",page_10_semantic_1.csv=73.7; page_10_semantic_2.csv=75.2; page_10_semantic_3.csv=69.1,True,2026-06-09T18:52:53.504354
page_11,11,3,3,page_11_semantic_1.csv,TIER2,high,51.32,Run 1 accurately captures all relevant content including detailed additional information and correct addresses necessary for geocoding.,page_11_semantic_1.csv=51.3; page_11_semantic_2.csv=51.3; page_11_semantic_3.csv=51.3,True,2026-06-09T18:52:59.281467
page_12,12,3,1,page_12_semantic_3.csv,TIER1,high,50.1,only_valid_run,page_12_semantic_1.csv=50.0; page_12_semantic_2.csv=50.0; page_12_semantic_3.csv=50.1,True,2026-06-09T18:53:02.981805
page_13,13,2,2,page_13_semantic_2.csv,TIER2,high,45.1,"Run 2 has more accurate separation of the address into distinct components and categories, which improves clarity and aids in geocoding with minimal errors.",page_13_semantic_1.csv=45.1; page_13_semantic_2.csv=45.1,True,2026-06-09T18:53:08.920964
page_14,14,4,4,page_14_semantic_3.csv,TIER2,high,73.41,"Run 3 is the most accurately transcribed with correct use of accents and punctuation, matching the OCR text closely.",page_14_semantic_1.csv=73.2; page_14_semantic_2.csv=73.5; page_14_semantic_3.csv=73.4; page_14_semantic_4.csv=72.5,True,2026-06-09T18:53:15.958320
page_15,15,4,3,page_15_semantic_3.csv,TIER2,high,58.03,"Run 3 is the most complete, capturing more entries than runs 1 and 2, with fewer formatting errors.",page_15_semantic_1.csv=59.3; page_15_semantic_2.csv=59.3; page_15_semantic_3.csv=58.0; page_15_semantic_4.csv=50.2,True,2026-06-09T18:53:22.411712
page_16,16,4,4,page_16_semantic_4.csv,TIER2,high,49.07,"Run 4 is the most complete and accurate, with correct handling of names and errors, and includes a Venetian address crucial for geocoding.",page_16_semantic_1.csv=49.1; page_16_semantic_2.csv=45.5; page_16_semantic_3.csv=49.1; page_16_semantic_4.csv=49.1,True,2026-06-09T18:53:30.393453
page_17,17,4,4,page_17_semantic_1.csv,TIER2,high,56.15,"Run 1 has the most accurate representation of the text with proper categories and page numbers, matching the raw transcription.",page_17_semantic_1.csv=56.1; page_17_semantic_2.csv=50.5; page_17_semantic_3.csv=56.1; page_17_semantic_4.csv=56.1,True,2026-06-09T18:53:38.347399
page_18,18,4,4,page_18_semantic_3.csv,TIER2,high,60.1,"Run 3 captures the most accurate and complete transcription with corrections to errors present in other runs, such as 'Opera Pia G. B. Giustinian', and includes relevant Venetian addresses which are valuable for geocoding.",page_18_semantic_1.csv=60.1; page_18_semantic_2.csv=60.1; page_18_semantic_3.csv=60.1; page_18_semantic_4.csv=52.0,True,2026-06-09T18:53:47.505297
page_19,19,4,3,page_19_semantic_3.csv,TIER2,medium,51.29,"Run 3 has the most complete and accurately transcribed entries without major errors, matching the OCR text closely.",page_19_semantic_1.csv=51.3; page_19_semantic_2.csv=49.9; page_19_semantic_3.csv=51.3; page_19_semantic_4.csv=44.6,True,2026-06-09T18:53:55.560052
page_20,20,3,3,page_20_semantic_1.csv,TIER2,high,52.6,Run 1 accurately captures the most complete and precise address with the proper name and includes all relevant information for geocoding and categorization.,page_20_semantic_1.csv=52.6; page_20_semantic_2.csv=52.6; page_20_semantic_3.csv=52.6,True,2026-06-09T18:54:01.808123
page_21,21,3,3,page_21_semantic_1.csv,TIER2,high,52.6,Run 1 accurately captures the content with correct addressing format and information separation necessary for geocoding.,page_21_semantic_1.csv=52.6; page_21_semantic_2.csv=52.6; page_21_semantic_3.csv=52.6,True,2026-06-09T18:54:08.329475
page_22,22,4,4,page_22_semantic_3.csv,TIER2,high,61.84,"Run 3 captures accurate content with correct formatting and includes Venetian address detail (though not needed), minimizing OCR errors.",page_22_semantic_1.csv=61.8; page_22_semantic_2.csv=61.8; page_22_semantic_3.csv=61.8; page_22_semantic_4.csv=61.8,True,2026-06-09T18:54:15.486746
page_23,23,4,4,page_23_semantic_1.csv,TIER2,high,47.88,"Run 1 accurately captures the address, category, and additional information with the correct separation of address components and maintains the integrity of the content.",page_23_semantic_1.csv=47.9; page_23_semantic_2.csv=47.9; page_23_semantic_3.csv=47.9; page_23_semantic_4.csv=47.9,True,2026-06-09T18:54:22.138022
page_24,24,4,4,page_24_semantic_4.csv,TIER2,high,52.13,"Run 4 has the most accurate transcriptions with the least number of errors and most complete information, closely resembling the raw OCR text.",page_24_semantic_1.csv=52.1; page_24_semantic_2.csv=44.5; page_24_semantic_3.csv=52.1; page_24_semantic_4.csv=52.1,True,2026-06-09T18:54:29.392729
